regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,22,0.36597875,0.3658894170075655,0.0,8.191610686480999e-05,0.3634282473940402,0.0023792535066604614,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,22,0.009585167,0.009495291975326836,9.799993131309748e-05,0.0,0.007021549739874899,0.0023757423041388392,0.0003986669471487403,0.004738503368571401,3.06636793538928e-05,0.0017953416099771857,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,22,0.016367125,0.016285249963402748,0.0,7.728405762463808e-05,0.01403715752530843,0.00217080838046968,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,23,0.36593508300000005,0.36583574989344925,0.0,7.871072739362717e-05,0.36343071481678635,0.002326324349269271,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,23,0.009565208,0.009501416934654117,0.0001015000743791461,0.0,0.007050882442854345,0.0023490344174206257,0.00039096397813409567,0.004800377762876451,3.0205468647181988e-05,0.001774260075762868,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,23,0.016569292,0.016508915927261114,0.0,7.711967919021845e-05,0.014250878593884408,0.002180917654186487,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,24,0.016586916,0.016533290967345238,0.0,7.757742423564196e-05,0.014260209631174803,0.002195503911934793,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,24,0.367437791,0.3673506660852581,0.0,8.26176255941391e-05,0.3648743206867948,0.0023937277728691697,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,24,0.009432166,0.009363749995827675,9.912496898323298e-05,0.0,0.006957925274036825,0.002306699752807617,0.0003923786571249366,0.004714843817055225,3.0000461265444756e-05,0.001766591565683484,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,25,0.36909287500000004,0.3689961249474436,0.0,8.341262582689524e-05,0.3664690414443612,0.0024436708772554994,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,25,0.016861458000000003,0.016790542053058743,0.0,7.779290899634361e-05,0.014455497148446739,0.002257251995615661,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,25,0.009265084,0.009216042002663016,9.400001727044582e-05,0.0,0.006850429344922304,0.0022716126404702663,0.0003881356678903103,0.0046236322959885,3.0330149456858635e-05,0.0017547602765262127,120,True,9.332450840433225e-17
